CapInScen,MidLLapse,WindAloft,LowLLapse,ScenRelAMCIN,CombMoisture,MeanRH,SynForcng,AMInstabMt,ScenRelAMIns,MorningCIN,SubjVertMo,QGVertMotion,OutflowFrMt,CombClouds,SatContMoist,AreaMoDryAir,AMInsWliScen,IRCloudCover,CldShadeConv,LIfr12ZDENSd,ScnRelPlFcst,CurPropConv,N0_7muVerMo,TempDis,Scenario,MvmtFeatures,InsChange,LLIW,Boundaries,LoLevMoistAd,AreaMeso_ALS,WndHodograph,LatestCIN,MountainFcst,Date,RHRatio,VISCloudCov,ScenRel3_4,N34StarFcst,CapChange,WindFieldMt,InsInMt,InsSclInScen,CompPlFcst,CldShadeOth,RaoContMoist,MorningBound,R5Fcst,Dewpoints,CombVerMo,AMDewptCalPl,SfcWndShfDis,AMCINInScen,WindFieldPln,PlainsFcst
MoreThanAve,CloseToDryAd,SWQuad,CloseToDryAd,CThruK,Wet,Average,LittleChange,None,CDEJ,PartInhibit,Down,Neutral,None,Clear,Dry,Wet,MoreUnstable,Clear,None,N5GtLIGt_8,D,Slight,StrongUp,None,D,MarkedUpper,Increasing,Unfavorable,Strong,WeakPos,Down,StrongWest,None,XNIL,Jul16_Aug10,Other,Clear,D,XNIL,Increasing,LVorOther,None,MoreUnstable,IncCapDecIns,Clear,Neutral,Strong,XNIL,LowAtStation,Down,Instability,DryLine,MoreThanAve,DenvCyclone,XNIL
MoreThanAve,ModerateOrLe,SWQuad,ModerateOrLe,CThruK,Wet,Average,SigNegative,Weak,CDEJ,Stifling,Neutral,Neutral,None,PC,Neutral,Neutral,Average,Clear,Some,N1GtLIGt_4,E,None,Neutral,Other,E,NoMajor,Decreasing,Weak,None,Negative,Neutral,Other,PartInhibit,SIG,Jul16_Aug10,Other,PC,ACEFK,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,PC,Wet,None,SIG,HighEvrywher,Neutral,Instability,None,Average,LV,XNIL
LessThanAve,Steep,SWQuad,Steep,CThruK,Wet,Average,LittleChange,Strong,CDEJ,None,Neutral,StrongUp,Strong,PC,Dry,VeryWet,Average,PC,None,N1GtLIGt_4,E,None,StrongUp,None,E,OtherRapid,Decreasing,Weak,Weak,Negative,StrongUp,Westerly,PartInhibit,SVR,May15_Jun14,MoistMDryL,PC,ACEFK,SIG,Decreasing,Westerly,Strong,Average,DecCapIncIns,PC,Wet,Weak,SVR,LowAtStation,StrongUp,Stability,MovingFtorOt,LessThanAve,LV,SIG
Average,CloseToDryAd,SWQuad,Steep,CThruK,VeryWet,Dry,PosToNeg,Weak,ABI,PartInhibit,Neutral,StrongUp,Strong,Clear,Wet,Wet,LessUnstable,Clear,Marked,N5GtLIGt_8,I,Slight,WeakUp,Moving,I,OtherRapid,Increasing,Weak,Weak,WeakPos,WeakUp,StrongWest,None,XNIL,Aug20_Sep15,DryMMoistL,Clear,HI,XNIL,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,VeryWet,None,XNIL,LowSHighN,WeakUp,Stability,E_W_S,Average,LV,XNIL
MoreThanAve,ModerateOrLe,LV,ModerateOrLe,CThruK,VeryWet,Dry,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Down,Strong,Cloudy,Wet,VeryWet,Average,PC,Marked,N5GtLIGt_8,J,Slight,WeakUp,QStationary,J,NoMajor,Increasing,Unfavorable,Weak,WeakPos,Neutral,DCVZFavor,None,SIG,Jul2_Jul15,DryMMoistL,PC,GJ,SVR,Increasing,LVorOther,Strong,Average,IncCapDecIns,Cloudy,VeryWet,Weak,SVR,Other,Neutral,Stability,DenvCyclone,Average,LV,SVR
MoreThanAve,Steep,AllElse,Stable,AB,Neutral,VeryMoist,LittleChange,Strong,ABI,None,Neutral,Neutral,Strong,Cloudy,Wet,Neutral,Average,Clear,Marked,LIGt0,B,None,Neutral,QStationary,B,NoMajor,LittleChange,Unfavorable,Weak,Negative,Neutral,DCVZFavor,PartInhibit,SVR,Aug20_Sep15,DryMMoistL,PC,B,XNIL,Increasing,LVorOther,Strong,Average,IncCapDecIns,Cloudy,Neutral,None,SVR,LowSHighN,Neutral,Neutral,DenvCyclone,LessThanAve,E_NE,XNIL
MoreThanAve,Steep,AllElse,ModerateOrLe,CThruK,Neutral,Dry,LittleChange,None,K,PartInhibit,Down,StrongUp,None,Cloudy,Neutral,Neutral,Average,Cloudy,None,N5GtLIGt_8,K,None,WeakUp,Moving,K,MarkedUpper,Increasing,Weak,Weak,StrongPos,Neutral,Westerly,PartInhibit,SIG,Aug20_Sep15,Other,PC,ACEFK,SIG,Increasing,LVorOther,Weak,MoreUnstable,IncCapDecIns,Cloudy,Wet,None,SIG,LowNHighS,Neutral,Instability,DryLine,Average,WidespdDnsl,SIG
LessThanAve,ModerateOrLe,AllElse,Steep,CThruK,VeryWet,Dry,SigNegative,Strong,CDEJ,PartInhibit,WeakUp,Neutral,Strong,PC,Wet,VeryWet,Average,PC,Some,N5GtLIGt_8,E,Strong,WeakUp,Other,E,NoMajor,Increasing,Strong,Strong,WeakPos,WeakUp,DCVZFavor,PartInhibit,SIG,Aug20_Sep15,MoistMDryL,PC,ACEFK,SIG,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,PC,VeryWet,None,SIG,LowAtStation,WeakUp,Instability,None,LessThanAve,LV,SIG
MoreThanAve,CloseToDryAd,AllElse,ModerateOrLe,CThruK,Neutral,Dry,LittleChange,None,ABI,PartInhibit,Down,Neutral,None,Cloudy,Neutral,Wet,MoreUnstable,Cloudy,None,N1GtLIGt_4,I,Slight,StrongUp,QStationary,I,MarkedUpper,Decreasing,Unfavorable,Weak,Negative,WeakUp,Other,None,XNIL,Aug20_Sep15,Other,PC,HI,XNIL,Increasing,LVorOther,None,Average,IncCapDecIns,Cloudy,Neutral,Weak,XNIL,LowSHighN,WeakUp,Instability,E_W_S,Average,SEQuad,XNIL
LessThanAve,Steep,LV,ModerateOrLe,CThruK,Wet,Average,LittleChange,Weak,CDEJ,None,WeakUp,WeakUp,Strong,PC,Wet,Wet,Average,PC,Marked,N5GtLIGt_8,J,None,Neutral,Other,J,NoMajor,LittleChange,Moderate,Strong,Negative,WeakUp,StrongWest,PartInhibit,SIG,Aug20_Sep15,DryMMoistL,Clear,GJ,SIG,Decreasing,LVorOther,Strong,Average,DecCapIncIns,PC,Neutral,None,SIG,LowMtsHighPl,WeakUp,Neutral,DryLine,Average,LV,SIG
LessThanAve,ModerateOrLe,NWQuad,Steep,CThruK,Dry,Dry,NegToPos,Weak,CDEJ,PartInhibit,WeakUp,Neutral,Strong,PC,Neutral,Dry,LessUnstable,Clear,Marked,N1GtLIGt_4,C,None,WeakUp,None,C,NoMajor,Decreasing,Weak,Strong,Negative,WeakUp,Westerly,Stifling,SIG,Jul16_Aug10,DryMMoistL,PC,ACEFK,XNIL,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,PC,Neutral,Weak,SIG,LowEvrywhere,WeakUp,Stability,E_W_S,LessThanAve,LongAnticyc,XNIL
MoreThanAve,CloseToDryAd,NWQuad,ModerateOrLe,CThruK,Wet,Dry,LittleChange,None,CDEJ,None,Neutral,StrongUp,Strong,Clear,Neutral,Wet,MoreUnstable,Clear,Marked,N1GtLIGt_4,C,None,StrongUp,QStationary,C,MarkedUpper,LittleChange,Weak,Strong,Neutral,Neutral,StrongWest,TotalInhibit,XNIL,Aug11_Aug20,MoistMDryL,Clear,ACEFK,SVR,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,Clear,VeryWet,Weak,SVR,Other,Neutral,Neutral,E_W_N,Average,LongAnticyc,SVR
MoreThanAve,CloseToDryAd,LV,CloseToDryAd,CThruK,Wet,Average,SigNegative,Strong,ABI,Stifling,Neutral,Neutral,Strong,Cloudy,Neutral,VeryWet,MoreUnstable,PC,Marked,N1GtLIGt_4,I,None,StrongUp,QStationary,I,StrongFront,LittleChange,Weak,Strong,Negative,StrongUp,DCVZFavor,PartInhibit,SVR,Aug20_Sep15,DryMMoistL,Cloudy,HI,SVR,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,Cloudy,VeryWet,Weak,SVR,LowMtsHighPl,StrongUp,Instability,E_W_S,MoreThanAve,E_NE,SVR
LessThanAve,CloseToDryAd,NWQuad,CloseToDryAd,CThruK,VeryWet,Dry,PosToNeg,Strong,G,TotalInhibit,Neutral,Neutral,Strong,Clear,Wet,VeryWet,LessUnstable,PC,Marked,N1GtLIGt_4,G,None,Down,QStationary,G,NoMajor,Increasing,Unfavorable,Strong,StrongPos,Neutral,StrongWest,PartInhibit,SVR,Aug11_Aug20,MoistMDryL,Clear,GJ,XNIL,Decreasing,Westerly,Strong,Average,DecCapIncIns,Clear,VeryWet,Strong,SVR,LowEvrywhere,Neutral,Neutral,DryLine,MoreThanAve,WidespdDnsl,XNIL
Average,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Wet,Average,SigPositive,Weak,CDEJ,None,Neutral,Neutral,None,Clear,Wet,VeryWet,MoreUnstable,Cloudy,None,N1GtLIGt_4,E,Slight,WeakUp,None,E,NoMajor,Decreasing,Moderate,Weak,Negative,WeakUp,DCVZFavor,PartInhibit,SIG,May15_Jun14,MoistMDryL,Clear,ACEFK,SIG,LittleChange,Westerly,Weak,LessUnstable,LittleChange,PC,VeryWet,None,SIG,LowSHighN,WeakUp,Instability,None,Average,LongAnticyc,SIG
MoreThanAve,ModerateOrLe,SWQuad,ModerateOrLe,AB,Neutral,Average,NegToPos,Weak,ABI,Stifling,StronUp,Down,Weak,PC,Neutral,Neutral,Average,Clear,Marked,N1GtLIGt_4,A,Slight,WeakUp,QStationary,A,OtherRapid,Increasing,Weak,None,StrongPos,Neutral,DCVZFavor,None,XNIL,May15_Jun14,Other,PC,ACEFK,XNIL,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Neutral,None,XNIL,HighEvrywher,Neutral,Instability,DenvCyclone,Average,LongAnticyc,XNIL
LessThanAve,ModerateOrLe,AllElse,Steep,CThruK,Dry,Dry,NegToPos,Strong,K,PartInhibit,Neutral,Neutral,Strong,PC,Neutral,Neutral,MoreUnstable,PC,Some,N5GtLIGt_8,K,None,WeakUp,Moving,K,MarkedUpper,Decreasing,Weak,Strong,Negative,WeakUp,DCVZFavor,Stifling,SVR,Aug20_Sep15,DryMMoistL,Clear,ACEFK,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Cloudy,Dry,None,SVR,LowNHighS,WeakUp,Neutral,Other,LessThanAve,WidespdDnsl,XNIL
LessThanAve,ModerateOrLe,AllElse,ModerateOrLe,AB,Wet,VeryMoist,LittleChange,Strong,ABI,PartInhibit,Neutral,StrongUp,Weak,PC,Neutral,VeryWet,Average,Cloudy,Marked,N5GtLIGt_8,B,Slight,StrongUp,Other,B,NoMajor,Increasing,Weak,Weak,WeakPos,Neutral,DCVZFavor,None,SIG,Aug20_Sep15,DryMMoistL,PC,B,XNIL,Decreasing,Westerly,Strong,Average,DecCapIncIns,PC,Neutral,None,SIG,HighEvrywher,Neutral,Instability,DenvCyclone,Average,E_NE,XNIL
Average,CloseToDryAd,NWQuad,CloseToDryAd,CThruK,VeryWet,Dry,SigNegative,Strong,G,PartInhibit,Down,Neutral,Strong,PC,Dry,Wet,MoreUnstable,PC,Some,N1GtLIGt_4,G,None,WeakUp,None,G,NoMajor,Increasing,Unfavorable,Strong,StrongPos,WeakUp,Westerly,PartInhibit,SVR,Jun15_Jul1,MoistMDryL,PC,GJ,XNIL,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,PC,Neutral,Weak,SVR,LowEvrywhere,WeakUp,Stability,DryLine,Average,LongAnticyc,XNIL
LessThanAve,CloseToDryAd,SWQuad,Stable,CThruK,Neutral,VeryMoist,PosToNeg,Weak,H,PartInhibit,Neutral,Neutral,None,Clear,Wet,Neutral,MoreUnstable,Cloudy,None,N1GtLIGt_4,H,None,WeakUp,Moving,H,MarkedUpper,LittleChange,Weak,None,Neutral,Neutral,Other,None,SIG,Aug20_Sep15,Other,Clear,HI,XNIL,LittleChange,LVorOther,Weak,MoreUnstable,LittleChange,Clear,Neutral,None,SIG,Other,Neutral,Stability,MovingFtorOt,LessThanAve,E_NE,XNIL
MoreThanAve,ModerateOrLe,AllElse,Steep,CThruK,Neutral,Average,LittleChange,Strong,CDEJ,Stifling,Neutral,Down,None,PC,Neutral,Wet,LessUnstable,PC,Some,N5GtLIGt_8,E,Slight,StrongUp,None,E,NoMajor,Decreasing,Strong,None,Negative,WeakUp,Other,PartInhibit,SIG,Aug20_Sep15,MoistMDryL,PC,ACEFK,XNIL,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,PC,Neutral,Weak,SIG,Other,WeakUp,Stability,None,MoreThanAve,WidespdDnsl,XNIL
LessThanAve,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Dry,Dry,SigPositive,Strong,CDEJ,PartInhibit,Neutral,WeakUp,Weak,Clear,Dry,Dry,LessUnstable,PC,Some,LIGt0,D,Moderate,WeakUp,Moving,D,MarkedUpper,LittleChange,Moderate,Weak,Neutral,WeakUp,Westerly,PartInhibit,SIG,Jul16_Aug10,DryMMoistL,Clear,D,XNIL,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,Clear,Neutral,None,SIG,LowMtsHighPl,WeakUp,Neutral,DenvCyclone,LessThanAve,SEQuad,XNIL
Average,CloseToDryAd,AllElse,ModerateOrLe,CThruK,Wet,Average,SigPositive,Weak,ABI,PartInhibit,Neutral,Neutral,Weak,PC,Wet,Wet,Average,Cloudy,Some,N1GtLIGt_4,I,Strong,Down,QStationary,I,NoMajor,Decreasing,Strong,Strong,Negative,Neutral,DCVZFavor,None,SIG,May15_Jun14,DryMMoistL,PC,HI,XNIL,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,PC,Neutral,Weak,SIG,LowSHighN,Neutral,Neutral,Other,Average,E_NE,XNIL
Average,CloseToDryAd,LV,Stable,CThruK,Neutral,Dry,NegToPos,Weak,ABI,PartInhibit,Neutral,Neutral,None,PC,Neutral,Neutral,LessUnstable,PC,Some,N1GtLIGt_4,I,Slight,Down,QStationary,I,NoMajor,LittleChange,Unfavorable,None,Neutral,Down,Other,Stifling,SVR,Jul16_Aug10,DryMMoistL,PC,HI,SVR,LittleChange,Westerly,Strong,Average,LittleChange,PC,VeryWet,None,SVR,LowSHighN,Down,Stability,MovingFtorOt,Average,E_NE,SVR
Average,Steep,LV,Stable,CThruK,Dry,Average,LittleChange,Weak,CDEJ,PartInhibit,Neutral,Down,Weak,Clear,Wet,Dry,MoreUnstable,PC,Some,N1GtLIGt_4,J,Strong,Down,QStationary,J,NoMajor,LittleChange,Moderate,Weak,Neutral,Down,StrongWest,PartInhibit,SIG,May15_Jun14,Other,Clear,GJ,XNIL,LittleChange,LVorOther,Weak,MoreUnstable,LittleChange,Clear,Dry,None,SIG,LowNHighS,Down,Instability,None,Average,DenvCyclone,XNIL
LessThanAve,CloseToDryAd,NWQuad,Steep,AB,Neutral,Dry,LittleChange,Weak,ABI,PartInhibit,Neutral,Down,Weak,PC,Wet,Neutral,MoreUnstable,PC,Marked,N1GtLIGt_4,B,Strong,Down,QStationary,B,NoMajor,LittleChange,Moderate,Strong,Neutral,Down,StrongWest,PartInhibit,XNIL,Jul16_Aug10,DryMMoistL,Clear,B,SIG,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Dry,Strong,SIG,LowMtsHighPl,Down,Instability,DenvCyclone,LessThanAve,DenvCyclone,SIG
MoreThanAve,Steep,SWQuad,ModerateOrLe,CThruK,Wet,Average,PosToNeg,Weak,CDEJ,TotalInhibit,Neutral,Neutral,None,Clear,Wet,VeryWet,LessUnstable,Clear,Some,N5GtLIGt_8,E,Slight,StrongUp,QStationary,E,NoMajor,LittleChange,Moderate,Weak,WeakPos,StrongUp,Westerly,Stifling,XNIL,Jul2_Jul15,MoistMDryL,Clear,ACEFK,XNIL,LittleChange,Westerly,Weak,LessUnstable,LittleChange,PC,Neutral,None,XNIL,LowAtStation,StrongUp,Neutral,None,MoreThanAve,LV,XNIL
Average,Steep,LV,ModerateOrLe,CThruK,Neutral,Dry,LittleChange,Weak,CDEJ,Stifling,Down,WeakUp,Weak,Clear,Neutral,Dry,LessUnstable,Clear,None,N5GtLIGt_8,J,None,Down,Other,J,OtherRapid,Increasing,Unfavorable,None,WeakPos,Down,Other,None,SIG,Jul16_Aug10,DryMMoistL,PC,GJ,XNIL,Increasing,LVorOther,Strong,Average,IncCapDecIns,Clear,Wet,Weak,SIG,LowSHighN,Down,Stability,None,Average,LV,XNIL
MoreThanAve,Steep,SWQuad,Stable,AB,Neutral,Average,LittleChange,None,ABI,PartInhibit,WeakUp,Neutral,Weak,Clear,Neutral,Wet,Average,PC,Marked,N5GtLIGt_8,A,Strong,Neutral,Other,A,MarkedUpper,Increasing,Strong,Weak,WeakPos,Neutral,StrongWest,PartInhibit,XNIL,May15_Jun14,Other,Clear,ACEFK,SVR,Increasing,LVorOther,Weak,Average,IncCapDecIns,Clear,VeryWet,Weak,SVR,LowMtsHighPl,Neutral,Stability,DenvCyclone,Average,DenvCyclone,SVR
Average,Steep,AllElse,ModerateOrLe,AB,Neutral,Average,SigNegative,Strong,ABI,PartInhibit,WeakUp,Neutral,Strong,PC,Neutral,Neutral,LessUnstable,PC,Marked,LIGt0,A,Slight,Neutral,Other,A,MarkedUpper,Increasing,Unfavorable,Strong,WeakPos,WeakUp,StrongWest,None,SIG,Jun15_Jul1,Other,Clear,ACEFK,SVR,Increasing,Westerly,Strong,Average,IncCapDecIns,PC,Dry,None,SVR,HighEvrywher,WeakUp,Neutral,DenvCyclone,LessThanAve,E_NE,SVR
MoreThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,Wet,VeryMoist,PosToNeg,Strong,F,None,Down,Neutral,Strong,PC,Dry,Wet,LessUnstable,PC,Marked,N5GtLIGt_8,F,Slight,Down,Other,F,OtherRapid,LittleChange,Strong,Strong,WeakPos,Down,StrongWest,Stifling,SVR,Jul16_Aug10,Other,PC,ACEFK,XNIL,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,PC,Wet,Weak,SVR,HighEvrywher,Down,Stability,None,LessThanAve,LV,XNIL
LessThanAve,ModerateOrLe,AllElse,CloseToDryAd,CThruK,Neutral,Dry,SigPositive,None,CDEJ,None,Neutral,Neutral,None,Cloudy,Neutral,Neutral,LessUnstable,Cloudy,None,N1GtLIGt_4,C,Slight,WeakUp,QStationary,C,NoMajor,Decreasing,Moderate,Strong,Negative,Neutral,Other,PartInhibit,XNIL,Jun15_Jul1,DryMMoistL,Cloudy,ACEFK,XNIL,Decreasing,Westerly,None,LessUnstable,DecCapIncIns,Cloudy,Neutral,Strong,XNIL,LowNHighS,Neutral,Instability,E_W_S,LessThanAve,WidespdDnsl,XNIL
MoreThanAve,Steep,LV,ModerateOrLe,CThruK,Neutral,Average,LittleChange,Weak,CDEJ,PartInhibit,Down,Neutral,Strong,PC,Wet,Neutral,MoreUnstable,PC,None,N5GtLIGt_8,J,Strong,WeakUp,QStationary,J,NoMajor,LittleChange,Moderate,Weak,Negative,Neutral,StrongWest,None,XNIL,Jul16_Aug10,MoistMDryL,PC,GJ,XNIL,Increasing,LVorOther,Weak,MoreUnstable,IncCapDecIns,Clear,Wet,None,XNIL,LowAtStation,Neutral,Neutral,DryLine,Average,LongAnticyc,XNIL
LessThanAve,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Wet,Average,LittleChange,None,CDEJ,PartInhibit,Neutral,WeakUp,None,Cloudy,Neutral,Neutral,Average,Clear,None,N1GtLIGt_4,E,Strong,Down,None,E,OtherRapid,Decreasing,Strong,Weak,Negative,Down,StrongWest,None,XNIL,Aug11_Aug20,MoistMDryL,Cloudy,ACEFK,XNIL,LittleChange,Westerly,None,LessUnstable,LittleChange,Cloudy,Wet,Weak,XNIL,LowMtsHighPl,Down,Neutral,None,LessThanAve,DenvCyclone,XNIL
MoreThanAve,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Neutral,VeryMoist,SigNegative,Weak,K,TotalInhibit,Neutral,Neutral,Weak,PC,Wet,Wet,Average,PC,None,N5GtLIGt_8,K,None,Neutral,Other,K,StrongFront,Decreasing,Weak,Strong,Negative,Neutral,Other,PartInhibit,XNIL,Aug20_Sep15,Other,PC,ACEFK,XNIL,Increasing,LVorOther,Weak,Average,IncCapDecIns,PC,Neutral,Strong,XNIL,HighEvrywher,Neutral,Instability,Other,MoreThanAve,WidespdDnsl,XNIL
LessThanAve,CloseToDryAd,NWQuad,Steep,CThruK,Wet,VeryMoist,NegToPos,None,CDEJ,None,WeakUp,StrongUp,None,PC,Neutral,Wet,Average,Cloudy,None,N1GtLIGt_4,C,None,Down,None,C,OtherRapid,LittleChange,Weak,None,WeakPos,WeakUp,DCVZFavor,Stifling,XNIL,Aug11_Aug20,Other,PC,ACEFK,XNIL,LittleChange,Westerly,None,Average,LittleChange,Cloudy,Dry,Weak,XNIL,LowAtStation,WeakUp,Neutral,E_W_N,LessThanAve,LongAnticyc,XNIL
LessThanAve,ModerateOrLe,LV,ModerateOrLe,CThruK,Wet,Dry,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Down,None,PC,VeryWet,Wet,Average,Clear,None,N5GtLIGt_8,J,Moderate,StrongUp,Other,J,NoMajor,Increasing,Weak,Strong,StrongPos,Neutral,Other,PartInhibit,SIG,Jun15_Jul1,DryMMoistL,PC,GJ,XNIL,Increasing,LVorOther,Strong,Average,IncCapDecIns,PC,Dry,Strong,SIG,LowAtStation,Neutral,Stability,DryLine,LessThanAve,LV,XNIL
LessThanAve,Steep,NWQuad,ModerateOrLe,CThruK,Neutral,Average,SigNegative,Weak,H,None,StronUp,WeakUp,Strong,PC,Dry,Wet,LessUnstable,PC,Marked,LIGt0,H,None,Neutral,None,H,NoMajor,LittleChange,Moderate,Strong,Negative,StrongUp,StrongWest,None,XNIL,Jun15_Jul1,DryMMoistL,PC,HI,XNIL,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,Cloudy,Wet,Weak,XNIL,Other,StrongUp,Instability,MovingFtorOt,LessThanAve,E_NE,XNIL
MoreThanAve,ModerateOrLe,NWQuad,Steep,CThruK,Neutral,Dry,SigPositive,Weak,K,PartInhibit,WeakUp,Neutral,Weak,Cloudy,Dry,Dry,LessUnstable,PC,None,LIGt0,K,Moderate,Down,Other,K,StrongFront,Increasing,Moderate,Weak,WeakPos,Neutral,Westerly,None,XNIL,Jul16_Aug10,DryMMoistL,Cloudy,ACEFK,XNIL,Increasing,LVorOther,Weak,Average,IncCapDecIns,Cloudy,Dry,Weak,XNIL,LowNHighS,Neutral,Stability,MovingFtorOt,Average,LongAnticyc,XNIL
MoreThanAve,CloseToDryAd,SWQuad,Steep,AB,Neutral,Dry,PosToNeg,None,ABI,TotalInhibit,StronUp,Down,Weak,Clear,Dry,Neutral,MoreUnstable,PC,Some,N5GtLIGt_8,A,None,StrongUp,Other,A,OtherRapid,Increasing,Weak,Weak,WeakPos,Neutral,Westerly,PartInhibit,XNIL,May15_Jun14,DryMMoistL,Clear,ACEFK,XNIL,Increasing,Westerly,Weak,MoreUnstable,IncCapDecIns,Clear,Neutral,None,XNIL,HighEvrywher,Neutral,Instability,DenvCyclone,MoreThanAve,DenvCyclone,XNIL
MoreThanAve,Steep,SWQuad,CloseToDryAd,CThruK,Neutral,Average,LittleChange,Strong,CDEJ,Stifling,Neutral,Neutral,Strong,Cloudy,Neutral,Dry,LessUnstable,Cloudy,Some,LIGt0,E,Strong,Down,None,E,NoMajor,Increasing,Moderate,Weak,Neutral,Down,StrongWest,None,SIG,Jul16_Aug10,MoistMDryL,PC,ACEFK,SVR,Increasing,Westerly,Strong,Average,IncCapDecIns,Cloudy,VeryWet,Weak,SVR,LowEvrywhere,Down,Stability,E_W_S,MoreThanAve,LV,SVR
MoreThanAve,ModerateOrLe,NWQuad,Steep,CThruK,VeryWet,Dry,SigNegative,Weak,K,TotalInhibit,Neutral,Neutral,Strong,Cloudy,VeryWet,VeryWet,Average,PC,Some,N1GtLIGt_4,K,Slight,Down,None,K,MarkedUpper,LittleChange,Moderate,Weak,Neutral,Neutral,DCVZFavor,Stifling,XNIL,Aug20_Sep15,MoistMDryL,PC,ACEFK,SIG,Increasing,Westerly,Weak,Average,IncCapDecIns,Cloudy,VeryWet,Weak,SIG,Other,Neutral,Neutral,DryLine,MoreThanAve,SEQuad,SIG
LessThanAve,Steep,AllElse,Steep,CThruK,Wet,Dry,SigNegative,None,K,PartInhibit,Neutral,WeakUp,Strong,Clear,Wet,Neutral,LessUnstable,PC,Some,N1GtLIGt_4,K,Slight,StrongUp,Moving,K,OtherRapid,Decreasing,Moderate,Weak,WeakPos,WeakUp,DCVZFavor,Stifling,SVR,Jun15_Jul1,Other,Clear,ACEFK,XNIL,Decreasing,LVorOther,Strong,LessUnstable,DecCapIncIns,Clear,VeryWet,Weak,SVR,Other,WeakUp,Stability,MovingFtorOt,Average,DenvCyclone,XNIL
MoreThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,Dry,Dry,SigPositive,None,K,PartInhibit,WeakUp,Neutral,None,PC,Neutral,Neutral,MoreUnstable,PC,None,LILt_8,K,None,Neutral,QStationary,K,MarkedUpper,Decreasing,Unfavorable,Strong,Negative,Neutral,Westerly,PartInhibit,XNIL,Aug20_Sep15,DryMMoistL,PC,ACEFK,XNIL,LittleChange,LVorOther,None,MoreUnstable,LittleChange,PC,Neutral,Strong,XNIL,LowEvrywhere,Neutral,Neutral,Other,MoreThanAve,WidespdDnsl,XNIL
MoreThanAve,Steep,AllElse,Steep,CThruK,Wet,Average,SigNegative,Strong,CDEJ,PartInhibit,Neutral,StrongUp,None,PC,Neutral,VeryWet,LessUnstable,PC,Some,LIGt0,D,Slight,Down,Moving,D,OtherRapid,Increasing,Weak,Weak,StrongPos,WeakUp,Other,None,SVR,Jul16_Aug10,DryMMoistL,PC,D,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,PC,Neutral,Weak,SVR,LowMtsHighPl,WeakUp,Stability,DryLine,Average,DenvCyclone,XNIL
Average,ModerateOrLe,NWQuad,ModerateOrLe,AB,Wet,Average,LittleChange,Weak,ABI,PartInhibit,StronUp,Down,Weak,Cloudy,VeryWet,Neutral,Average,Cloudy,Marked,LILt_8,B,None,StrongUp,Other,B,NoMajor,Increasing,Moderate,Weak,StrongPos,Neutral,DCVZFavor,TotalInhibit,SVR,May15_Jun14,Other,Cloudy,B,SVR,LittleChange,LVorOther,Strong,Average,LittleChange,Cloudy,Wet,None,SVR,LowSHighN,Neutral,Stability,DenvCyclone,Average,DenvCyclone,SVR
MoreThanAve,Steep,SWQuad,CloseToDryAd,CThruK,VeryWet,Dry,SigNegative,Weak,CDEJ,TotalInhibit,Neutral,Neutral,None,PC,VeryWet,VeryWet,MoreUnstable,PC,Some,N1GtLIGt_4,D,Strong,Down,QStationary,D,MarkedUpper,Increasing,Strong,None,Neutral,Neutral,Westerly,None,SIG,Jun15_Jul1,Other,Clear,D,XNIL,Increasing,Westerly,Weak,MoreUnstable,IncCapDecIns,PC,Wet,None,SIG,LowAtStation,Neutral,Neutral,DenvCyclone,MoreThanAve,LongAnticyc,XNIL
